city,latitutes,longtitudes,temperature (F),Temp_max (F),humidity,cloudiness,wind speed,date,country
dargaville,-35.9333,173.8833,23.22,23.22,80,20,3.53,1644435230,NZ
rocha,-34.4833,-54.3333,23.52,23.52,54,9,5.49,1644435231,UY
puerto leguizamo,-0.1934,-74.7819,25.69,25.69,89,100,0.58,1644435232,CO
taltal,-25.4,-70.4833,19.9,19.9,72,24,1.93,1644435020,CL
karratha,-20.7377,116.8463,29.05,29.05,69,50,1.48,1644435235,AU
esmeraldas,-19.7625,-44.3139,23.36,24.06,87,98,1.16,1644435236,BR
vredendal,-31.6683,18.5012,18.67,18.67,85,0,3.51,1644435252,ZA
takapau,-40.0333,176.35,19.33,21.21,92,57,0.45,1644435253,NZ
cabedelo,-6.9811,-34.8339,30.37,30.37,64,60,5.16,1644435257,BR
san luis,-33.295,-66.3356,32.96,32.96,19,0,5.39,1644435259,AR
chicama,-7.8447,-79.1469,21.3,21.3,56,100,4.57,1644435276,PE
zamora,-4.0692,-78.9567,28.58,28.58,73,100,1.8,1644435278,EC
ellisras,-23.6649,27.7443,23.51,23.51,52,49,1.09,1644435280,ZA
vila velha,-20.3297,-40.2925,24.41,24.97,83,75,5.66,1644435254,BR
port shepstone,-30.7414,30.455,24.64,24.64,88,100,4.72,1644435322,ZA
port-gentil,-0.7193,8.7815,26.98,26.98,89,20,2.06,1644435323,GA
cururupu,-1.8283,-44.8683,25.91,25.91,89,75,2.13,1644435324,BR
